Photoelectron Energy,(d3p->es)^2/4,(d3p->ed)^2,Total
-0.5680000001760199,0.019568257682640755,3.5999910966526967,3.6195593543353373
-0.5670000001285225,0.01947152354345774,3.589024165760462,3.6084956893039197
-0.566000000081025,0.01937562728006843,3.5779696028680372,3.5973452301481057
-0.5650000000335276,0.019280562079294187,3.5668311362755105,3.586111698354805
-0.5639999999860301,0.019186321165901486,3.5556123641736943,3.5747986853395957
-0.5629999999385327,0.019092897796838235,3.5443167576560355,3.563409655452874
-0.5619999998910352,0.019000285258676704,3.532947664915724,3.5519479501744007
-0.5609999998435378,0.01890847687968241,3.521508315099521,3.5404167919792036
-0.5599999997960403,0.018817466013265456,3.510001822290971,3.5288192883042364
-0.5589999997485429,0.018727246053148353,3.4984311895392275,3.5171584355923757
-0.5579999997010454,0.018637810423591483,3.4867993129603776,3.505437123383969
-0.556999999653548,0.01854915258221063,3.4751089858052477,3.4936581383874583
-0.5559999996060505,0.018461266024643985,3.4633629025248305,3.4818241685494744
-0.5549999995585531,0.018374144286209863,3.4515636628111532,3.469937807097363
-0.5539999995110556,0.01828778091948071,3.439713775618627,3.4580015565381075
-0.5529999994635582,0.018202169522228858,3.4278156630478436,3.4460178325700723
-0.5519999994160607,0.018117303721937993,3.4158716643123124,3.4339889680342504
-0.5509999993685633,0.018033177196966357,3.4038840394742444,3.421917216671211
-0.5499999993210658,0.017949783632942615,3.3918549731095626,3.4098047567425054
-0.5489999992735684,0.017867116771025995,3.379786578073258,3.397653694844284
-0.5479999992260709,0.01778517037131182,3.3676808989114435,3.385466069282755
-0.5469999991785734,0.017703938226380726,3.3555399152233742,3.373243853449755
-0.545999999131076,0.017623414176702993,3.3433655450732864,3.3609889592499895
-0.5449999990835785,0.017543592084720613,3.3311596481000123,3.348703240184733
-0.5439999990360811,0.01746446584562795,3.3189240286309913,3.336388494476619
-0.5429999989885836,0.017386029384412027,3.3066604384397746,3.3240464678241866
-0.5419999989410862,0.017308276663610157,3.2943705798656233,3.3116788565292334
-0.5409999988935887,0.017231201672791113,3.282056108270233,3.299287309943024
-0.5399999988460913,0.017154798436581686,3.2697186344736218,3.2868734329102036
-0.5389999987985938,0.017079061007330247,3.2573597278366324,3.2744387888439626
-0.5379999987510964,0.0170039834658001,3.2449809177757345,3.2619849012415347
-0.5369999987035989,0.016929559926760047,3.2325836961260856,3.249513256052846
-0.5359999986561015,0.016855784529948098,3.2201695202817704,3.2370253048117186
-0.534999998608604,0.016782651453021026,3.207739813277841,3.224522464730862
-0.5339999985611066,0.016710154886401426,3.1952959675523993,3.2120061224388006
-0.5329999985136091,0.016638289067534163,3.1828393451975305,3.199477634265065
-0.5319999984661117,0.016567048249158136,3.1703712799302135,3.1869383281793717
-0.5309999984186142,0.01649642672153528,3.1578930794214677,3.1743895061430027
-0.5299999983711168,0.01642641879328291,3.1454060265874735,3.1618324453807563
-0.5289999983236193,0.016357018810854246,3.132911379016301,3.1492683978271554
-0.5279999982761219,0.01628822113561899,3.1204103727582297,3.1366985938938488
-0.5269999982286244,0.016220020167496955,3.107904222217835,3.124124242385332
-0.525999998181127,0.01615241032265701,3.0953941203588746,3.1115465306815318
-0.5249999981336295,0.016085386052474157,3.0828812414975837,3.098966627550058
-0.5239999980861321,0.016018941830294692,3.0703667413717906,3.086385683202085
-0.5229999980386346,0.015953072159547457,3.0578517569349883,3.0738048290945357
-0.5219999979911372,0.015887771557176675,3.04533740867852,3.0612251802356965
-0.5209999979436397,0.015823034584054478,3.032824799787896,3.0486478343719505
-0.5199999978961423,0.015758855812348732,3.020315018356394,3.0360738741687427
-0.5189999978486448,0.015695229841841796,3.0078091356937167,3.0235043655355582
-0.5179999978011474,0.01563215130750721,2.995308209547201,3.010940360854708
-0.5169999977536499,0.015569614852361168,2.9828132821140882,2.9983828969664494
-0.5159999977061525,0.01550761516048881,2.970325381054549,2.985832996215038
-0.514999997658655,0.015446146932100559,2.9578455209635295,2.97329166789563
-0.5139999976111576,0.015385204895225286,2.945374701687809,2.9607599065830343
-0.5129999975636601,0.015324783800292336,2.932913909533633,2.9482386933339253
-0.5119999975161627,0.015264878420493734,2.920464118403848,2.935728996824342
-0.5109999974686652,0.015205483562846206,2.90802628715229,2.923231770715136
-0.5099999974211678,0.01514659404861329,2.895601362987912,2.910747957036525
-0.5089999973736703,0.015088204724632855,2.8831902798215183,2.898278484546151
-0.5079999973261728,0.01503031047396244,2.8707939562356546,2.885824266709617
-0.5069999972786754,0.014972906184910954,2.858413301425062,2.8733862076099728
-0.505999997231178,0.014915986789584543,2.8460492090180067,2.8609651958075912
-0.5049999971836805,0.014859547229869078,2.8337025591904177,2.8485621064202866
-0.503999997136183,0.01480358247845604,2.8213742192748055,2.8361778017532617
-0.5029999970886856,0.014748087532412942,2.809065044335574,2.8238131318679867
-0.5019999970411881,0.014693057415259829,2.7967758754557313,2.811468932870991
-0.5009999969936907,0.014638487169315886,2.784507538577586,2.799146025746902
-0.49999999694619324,0.014584371865990115,2.7722608487269413,2.7868452205929315
-0.4989999968986958,0.01453070659975245,2.760036606544309,2.7745673131440616
-0.49799999685119833,0.014477486491816568,2.747835597194813,2.7623130836866294
-0.4969999968037009,0.014424706687452268,2.73565859364077,2.750083300328222
-0.49599999675620343,0.014372362350423159,2.7235063537781308,2.737878716128554
-0.494999996708706,0.014320448683436024,2.711379622374187,2.7257000710576227
-0.49399999666120853,0.014268960901048844,2.699279129149776,2.713548090050825
-0.4929999966137111,0.014217894250068527,2.6872055894548215,2.70142348370489
