E	Complex_PhaseShift
0.01099999982398	0.9948204663230119
0.01199999987148	1.5569317388451887
0.01299999991897	2.0439231312741475
0.01399999996647	2.4705217272989595
0.01500000001397	2.847779463209082
0.01600000006147	-3.0990224898030583
0.01700000010896	-2.796911128269339
0.01800000015646	-2.5238423263536593
0.01900000020396	-2.2756169406593636
0.02000000025146	-2.048821843567748
0.02100000029895	-1.8406524419382
0.02200000034645	-1.6487815153750838
0.02300000039395	-1.4712607952146344
0.02400000044145	-1.306446087300807
0.02500000048894	-1.1529395892846028
0.02600000053644	-1.0095449451456227
0.02700000058394	-0.8752318544746437
0.02800000063144	-0.7491079468095379
0.02900000067893	-0.6303962088246364
0.03000000072643	-0.5184167462207591
0.03100000077393	-0.41257191693103523
0.03200000082143	-0.31233413314445235
0.03300000086892	-0.21723578647107059
0.03400000091642	-0.1268608741845115
0.03500000096392	-0.040838000120133854
0.03600000101142	0.04116550815027683
0.03700000105891	0.1194485685729901
0.03800000110641	0.1942805629941545
0.03900000115391	0.2659049338911921
0.04000000120141	0.33454226456593095
0.0410000012489	0.40039292791171854
0.0420000012964	0.46363937241824504
0.0430000013439	0.52444810302635
0.0440000013914	0.5829714030729268
0.04500000143889	0.6393488363458443
0.04600000148639	0.6937085615847631
0.04700000153389	0.7461684859678672
0.04800000158139	0.7968372807055091
0.04900000162888	0.8458152774407021
0.05000000167638	0.8931952613150201
0.05100000172388	0.9390631750325883
0.05200000177138	0.9834987448028493
0.05300000181887	1.0265760383787457
0.05400000186637	1.0683639638221756
0.05500000191387	1.108926715869103
0.05600000196137	1.148324176669943
0.05700000200886	1.186612276082076
0.05800000205636	1.2238433159532283
0.05900000210386	1.2600662631890704
0.06000000215136	1.2953270143536355
0.06100000219885	1.3296686355097944
0.06200000224635	1.3631315798135923
0.06300000229385	1.3957538850145714
0.06400000234134	1.4275713535453687
0.06500000238884	1.458617716286503
0.06600000243634	1.4889247822936245
0.06700000248384	1.5185225755551828
0.06800000253133	1.5474394602695116
0.06900000257883	1.575702255489013
0.07000000262633	1.6033363404769225
0.07100000267383	1.630365751483271
0.07200000272132	1.6568132707204217
0.07300000276882	1.6827005084184934
0.07400000281632	1.7080479783422358
0.07500000286382	1.7328751676966334
0.07600000291131	1.7572006014838493
0.07700000295881	1.7810419022752852
0.07800000300631	1.804415845373121
0.07900000305381	1.8273384101857464
0.0800000031013	1.8498248276215465
0.0810000031488	1.8718896241563883
0.0820000031963	1.8935466631160327
0.0830000032438	1.9148091825447684
0.08400000329129	1.9356898310315822
0.08500000333879	1.9562007006096622
0.08600000338629	1.9763533578160144
0.08700000343379	1.9961588725443224
0.08800000348128	2.015627844853236
0.08900000352878	2.0347704303215317
0.09000000357628	2.0535963636258248
0.09100000362378	2.0721149805202215
0.09200000367127	2.09033523867063
0.09300000371877	2.108265736885689
0.09400000376627	2.1259147335613204
0.09500000381377	2.143290163581675
0.09600000386126	2.160399654459388
0.09700000390876	2.1772505414976755
0.09800000395626	2.1938498819539585
0.09900000400376	2.210204468413171
0.1000000040513	2.2263208414227096
0.1010000040988	2.242205301378475
0.1020000041462	2.2578639197211223
0.1030000041937	2.2733025495624077
0.1040000042412	2.2885268355528643
0.1050000042887	2.303542223461166
0.1060000043362	2.3183539690291894
0.1070000043837	2.332967146380757
0.1080000044312	2.3473866560566568
0.1090000044787	2.361617232533718
0.1100000045262	2.3756634514198516
0.1110000045737	2.389529736210139
0.1120000046212	2.403220364749708
0.1130000046687	2.4167394752868425
0.1140000047162	2.430091072346289
0.1150000047637	2.443279032145483
0.1160000048112	2.456307107885668
0.1170000048587	2.4691789346897717
0.1180000049062	2.4818980343031978
0.1190000049537	2.4944678196744916
0.1200000050012	2.5068915991204714
0.1210000050487	2.5191725804867855
0.1220000050962	2.5313138749785478
0.1230000051437	2.54331850087995
0.1240000051912	2.555189387069616
0.1250000052387	2.5669293763838734
0.1260000052862	2.5785412288423704
0.1270000053337	2.5900276246895806
0.1280000053812	2.6013911673171695
0.1290000054287	2.612634386087291
0.1300000054762	2.6237597389615868
0.1310000055237	2.634769615112343
0.1320000055712	2.6456663373010194
0.1330000056187	2.6564521642585093
0.1340000056662	2.6671292929117656
0.1350000057137	2.67769986052247
0.1360000057612	2.6881659467410186
0.1370000058087	2.698529575579227
0.1380000058562	2.7087927172855246
0.1390000059037	2.7189572901667813
0.1400000059512	2.729025162307378
0.1410000059986	2.7389981532473153
0.1420000060461	2.7488780355776825
0.1430000060936	2.758666536469379
0.1440000061411	2.7683653391558756
0.1450000061886	2.7779760843433943
0.1460000062361	2.7875003715789464
0.1470000062836	2.7969397605559876
0.1480000063311	2.8062957723786806
0.1490000063786	2.81556989077084
0.1500000064261	2.8247635632454275
0.1510000064736	2.833878202226892
0.1520000065211	2.8429151861351727
0.1530000065686	2.8518758604268863
0.1540000066161	2.860761538601333
0.1550000066636	2.8695735031691494
0.1560000067111	2.8783130065859055
0.1570000067586	2.8869812721537946
0.1580000068061	2.895579494890689
0.1590000068536	2.9041088423690415
0.1600000069011	2.9125704555259873
0.1610000069486	2.920965449444027
0.1620000069961	2.929294914109002
0.1630000070436	2.9375599151371192
0.1640000070911	2.9457614944792754
0.1650000071386	2.953900671107958
0.1660000071861	2.961978441667302
0.1670000072336	2.969995781119523
0.1680000072811	2.9779536433519946
0.1690000073286	2.9858529617814447
0.1700000073761	2.9936946499227663
0.1710000074236	3.0014796019532266
0.1720000074711	3.0092086932506703
0.1730000075186	3.016882780917125
0.1740000075661	3.024502704284521
0.1750000076136	3.0320692854002314
