r,radwave
1.006,-0.013938
1.009,-0.01393
1.012,-0.013921
1.015,-0.013912
1.018,-0.013902
1.021,-0.013892
1.024,-0.013882
1.027,-0.013871
1.03,-0.013859
1.033,-0.013848
1.036,-0.013836
1.039,-0.013824
1.042,-0.013811
1.045,-0.013798
1.048,-0.013785
1.051,-0.013771
1.054,-0.013757
1.057,-0.013742
1.06,-0.013728
1.063,-0.013713
1.066,-0.013697
1.069,-0.013682
1.072,-0.013666
1.075,-0.01365
1.078,-0.013633
1.081,-0.013616
1.084,-0.013599
1.087,-0.013582
1.09,-0.013564
1.093,-0.013546
1.096,-0.013528
1.099,-0.01351
1.102,-0.013491
1.105,-0.013472
1.108,-0.013453
1.111,-0.013433
1.114,-0.013413
1.117,-0.013394
1.12,-0.013373
1.123,-0.013353
1.126,-0.013332
1.129,-0.013312
1.132,-0.013291
1.135,-0.013269
1.138,-0.013248
1.141,-0.013226
1.144,-0.013204
1.147,-0.013182
1.15,-0.01316
1.153,-0.013138
1.156,-0.013115
1.159,-0.013092
1.162,-0.013069
1.165,-0.013046
1.168,-0.013023
1.171,-0.012999
1.174,-0.012976
1.177,-0.012952
1.18,-0.012928
1.183,-0.012904
1.186,-0.012879
1.189,-0.012855
1.192,-0.012831
1.195,-0.012806
1.198,-0.012781
1.201,-0.012756
1.204,-0.012731
1.207,-0.012706
1.21,-0.01268
1.213,-0.012655
1.216,-0.012629
1.219,-0.012604
1.222,-0.012578
1.225,-0.012552
1.228,-0.012526
1.231,-0.0125
1.234,-0.012473
1.237,-0.012447
1.24,-0.012421
1.243,-0.012394
1.246,-0.012367
1.249,-0.012341
1.252,-0.012314
1.255,-0.012287
1.258,-0.01226
1.261,-0.012233
1.264,-0.012206
1.267,-0.012178
1.27,-0.012151
1.273,-0.012124
1.276,-0.012096
1.279,-0.012069
1.282,-0.012041
1.285,-0.012014
1.288,-0.011986
1.291,-0.011958
1.294,-0.01193
1.297,-0.011902
1.3,-0.011874
1.303,-0.011846
1.306,-0.011818
1.309,-0.01179
1.312,-0.011762
1.315,-0.011734
1.318,-0.011706
1.321,-0.011677
1.324,-0.011649
1.327,-0.011621
1.33,-0.011592
1.333,-0.011564
1.336,-0.011535
1.339,-0.011507
1.342,-0.011478
1.345,-0.01145
1.348,-0.011421
1.351,-0.011393
1.354,-0.011364
1.357,-0.011335
1.36,-0.011307
1.363,-0.011278
1.366,-0.011249
1.369,-0.011221
1.372,-0.011192
1.375,-0.011163
1.378,-0.011134
1.381,-0.011106
1.384,-0.011077
1.387,-0.011048
1.39,-0.011019
1.393,-0.01099
1.396,-0.010962
